GENDER	YEAR	NAME	MOVIE	BP	BM	BY	CONTINENT
f	1929	Janet Gaynor	7th Heaven	Pennsylvania	10	1906	North America
m	1929	Emil Jannings	The Way of All Flesh & The Last Command	Switzerland	7	1884	Europe
f	1930	Mary Pickford	Coquette	Canada	4	1892	North America
m	1930	Warner Baxter	In Old Arizona	Ohio	3	1889	North America
f	1931	Norma Shearer	The Divorcee	Canada	8	1902	North America
m	1931	George Arliss	Disraeli	England	4	1868	Europe
f	1932	Marie Dressler	Min and Bill	Canada	11	1868	North America
m	1932	Lionel Barrymore	A Free Soul	Pennsylvania	4	1878	North America
f	1933	Helen Hayes	The Sin of Madelon Claudet	Washington DC	10	1900	North America
m	1933	Fredric March	Dr. Jekyll and Mr. Hyde	Wisconsin	8	1897	North America
m	1933	Wallace Beery	The Champ	Missouri	4	1885	North America
f	1934	Katharine Hepburn	Morning Glory	Connecticut	5	1907	North America
m	1934	Charles Laughton	The Private Life of Henry VIII	England	7	1899	Europe
f	1935	Claudette Colbert	It Happened One Night	France	9	1903	Europe
m	1935	Clark Gable	It Happened One Night	Ohio	2	1901	North America
f	1936	Bette Davis	Dangerous	Massachusetts	4	1908	North America
m	1936	Victor McLaglen	The Informer	England	12	1883	Europe
f	1937	Luise Rainer	The Great Ziegfeld	Germany	1	1910	Europe
m	1937	Paul Muni	The Story of Louis Pasteur	Poland	9	1895	Europe
f	1938	Luise Rainer	The Good Earth	Germany	1	1910	Europe
m	1938	Spencer Tracy	Captains Courageous	Wisconsin	4	1900	North America
f	1939	Bette Davis	Jezebel	Massachusetts	4	1908	North America
m	1939	Spencer Tracy	Boys Town	Wisconsin	4	1900	North America
f	1940	Vivien Leigh	Gone With the Wind	India	11	1913	Asia
m	1940	Robert Donat	"Goodbye, Mr. Chips"	England	3	1905	Europe
f	1941	Ginger Rogers	Kitty Foyle	Missouri	7	1911	North America
m	1941	James Stewart	The Philadelphia Story	Pennsylvania	5	1908	North America
f	1942	Joan Fontaine	Suspicion	Japan	10	1917	Asia
m	1942	Gary Cooper	Sergeant York	Montana	5	1901	North America
f	1943	Greer Garson	Mrs. Miniver	England	9	1904	Europe
m	1943	James Cagney	Yankee Doodle Dandy	New York	7	1899	North America
f	1944	Jennifer Jones	The Song of Bernadette	Oklahoma	3	1919	North America
m	1944	Paul Lukas	Watch on the Rhine	Hungary	5	1895	Europe
f	1945	Ingrid Bergman	Gaslight	Sweden	8	1915	Europe
m	1945	Bing Crosby	Going My Way	Washington	5	1903	North America
f	1946	Joan Crawford	Mildred Pierce	Texas	3	1912	North America
m	1946	Ray Milland	The Lost Weekend	Wales	1	1905	Europe
f	1947	Olivia de Havilland	To Each His Own	Japan	7	1916	Asia
m	1947	Fredric March	The Best Years of Our Lives	Wisconsin	8	1897	North America
f	1948	Loretta Young	The Farmers Daughter	Utah	1	1913	North America
m	1948	Ronald Colman	A Double Life	England	2	1891	Europe
f	1949	Jane Wyman	Johnny Belinda	Missouri	1	1914	North America
m	1949	Laurence Olivier	Hamlet	England	5	1907	Europe
f	1950	Olivia de Havilland	The Heiress	Japan	7	1916	Asia
m	1950	Broderick Crawford	All the Kings Men	Pennsylvania	12	1911	North America
f	1951	Judy Holliday	Born Yesterday	New York	6	1921	North America
m	1951	Jose Ferrer	Cyrano de Bergerac	Puerto Rico	1	1909	North America
f	1952	Vivien Leigh	A Streetcar Named Desire	India	11	1913	Asia
m	1952	Humphrey Bogart	The African Queen	New York	12	1899	North America
f	1953	Shirley Booth	"Come Back, Little Sheba"	New York	8	1898	North America
m	1953	Gary Cooper	High Noon	Montana	5	1901	North America
f	1954	Audrey Hepburn	Roman Holiday	Belgium	5	1929	Europe
m	1954	William Holden	Stalag 17	Illinois	4	1918	North America
f	1955	Grace Kelly	The Country Girl	Pennsylvania	11	1929	North America
m	1955	Marlon Brando	On The Waterfront	Nebraska	4	1924	North America
f	1956	Anna Magnani	The Rose Tattoo	Italy	3	1908	Europe
m	1956	Ernest Borgnine	Marty	Connecticut	1	1917	North America
f	1957	Ingrid Bergman	Anastasia	Sweden	8	1915	Europe
m	1957	Yul Brynner	The King and I	Russia	7	1915	Europe
f	1958	Joanne Woodward	The Three Faces of Eve	Georgia	2	1930	North America
m	1958	Alec Guinness	The Bridge On The River Kwai	England	4	1914	Europe
f	1959	Susan Hayward	I Want to Live!	New York	6	1917	North America
m	1959	David Niven	Separate Tables	Wales	3	1910	Europe
f	1960	Simone Signoret	Room at the Top	Germany	3	1921	Europe
m	1960	Charlton Heston	Ben-Hur	Illinois	10	1923	North America
f	1961	Elisabeth Taylor	Butterfield 8	England	2	1932	Europe
m	1961	Burt Lancaster	Elmer Gantry	New York	11	1913	North America
f	1962	Sophia Loren	Two Women	Italy	9	1934	Europe
m	1962	Maximilian Schell	Judgment at Nuremburg	Austria	12	1930	Europe
f	1963	Anne Bancroft	The Miracle Worker	New York	9	1931	North America
m	1963	Gregory Peck	To Kill a Mockingbird	California	4	1916	North America
f	1964	Patricia Neal	Hud	Kentucky	1	1926	North America
m	1964	Sidney Poitier	Lilies of the Field	Florida	2	1927	North America
f	1965	Julie Andrews	Mary Poppins	England	10	1935	Europe
m	1965	Rex Harrison	My Fair Lady	England	3	1908	Europe
f	1966	Julie Christie	Darling	India	4	1940	Asia
m	1966	Lee Marvin	Cat Ballou	New York	2	1924	North America
f	1967	Elizabeth Taylor	Whos Afraid of Virginia Woolf	England	2	1932	Europe
m	1967	Paul Scofield	A Man for All Seasons	England	1	1922	Europe
f	1968	Katharine Hepburn	Guess Whos Coming to Dinner	Connecticut	5	1907	North America
m	1968	Rod Steiger	In the Heat of the Night	New York	4	1925	North America
f	1969	Barbra Streisand	Funny Girl	New York	4	1942	North America
f	1969	Katharine Hepburn	The Lion in Winter	Connecticut	5	1907	North America
m	1969	Cliff Robertson	Charly	California	9	1925	North America
f	1970	Maggie Smith	The Prime of Miss Jean Brodie	England	12	1934	Europe
m	1970	John Wayne	True Grit	Iowa	5	1907	North America
f	1971	Glenda Jackson	Women In Love	England	5	1936	Europe
m	1971	George C. Scott	Patton	Virginia	10	1927	North America
f	1972	Jane Fonda	Klute	New York	12	1937	North America
m	1972	Gene Hackman	The French Connection	California	1	1930	North America
f	1973	Liza Minnelli	Cabaret	California	3	1946	North America
m	1973	Marlon Brando	The Godfather	Nebraska	4	1924	North America
f	1974	Glenda Jackson	A Touch of Class	England	5	1936	Europe
m	1974	Jack Lemmon	Save the Tiger	Massachusetts	2	1925	North America
f	1975	Ellen Burstyn	Alice Does not Live Here Anymore	Michigan	12	1932	North America
m	1975	Art Carney	Harry and Tonto	New York	11	1918	North America
f	1976	Louise Fletcher	One Flew Over The Cuckoos Nest	Alabama	7	1934	North America
m	1976	Jack Nicholson	One Flew Over The Cuckoos Nest	New York	4	1937	North America
f	1977	Faye Dunaway	Network	Florida	1	1941	North America
m	1977	Peter Finch	Network	England	9	1916	Europe
f	1978	Diane Keaton	Annie Hall	California	1	1946	North America
m	1978	Richard Dreyfuss	The Goodbye Girl	New York	10	1947	North America
f	1979	Jane Fonda	Coming Home	New York	12	1937	North America
m	1979	Jon Voight	Coming Home	New York	12	1938	North America
f	1980	Sally Field	Norma Rae	California	11	1946	North America
m	1980	Dustin Hoffman	Kramer vs. Kramer	California	8	1937	North America
f	1981	Sissy Spacek	Coal Miners Daughter	Texas	12	1949	North America
m	1981	Robert De Niro	Raging Bull	New York	8	1943	North America
f	1982	Katharine Hepburn	On Golden Pond	Connecticut	5	1907	North America
m	1982	Henry Fonda	On Golden Pond	Nebraska	5	1905	North America
f	1983	Meryl Streep	Sophies Choice	New Jersey	6	1949	North America
m	1983	Ben Kingsley	Ghandi	England	12	1943	Europe
f	1984	Shirley MacLaine	Terms of Endearment	Virginia	4	1934	North America
m	1984	Robert Duvall	Tender Mercies	California	1	1931	North America
f	1985	Sally Field	Places in the Heart	California	11	1946	North America
m	1985	F. Murray Abraham	Amadeus	Pennsylvania	10	1939	North America
f	1986	Geraldine Page	The Trip to Bountiful	Missouri	11	1924	North America
m	1986	William Hurt	Kiss of the Spider Woman	Washington DC	3	1950	North America
f	1987	Marlee Matlin	Children of a Lesser God	Illinois	8	1965	North America
m	1987	Paul Newman	The Color of Money	Ohio	1	1925	North America
f	1988	Cher	Moonstruck	California	5	1946	North America
m	1988	Michael Douglas	Wall Street	New Jersey	9	1944	North America
f	1989	Jodie Foster	The Accused	California	11	1962	North America
m	1989	Dustin Hoffman	Rain Man	California	8	1937	North America
f	1990	Jessica Tandy	Driving Miss Daisy	England	6	1909	Europe
m	1990	Daniel Day-Lewis	My Left Foot	England	4	1957	Europe
f	1991	Kathy Bates	Misery	Tennessee	6	1948	North America
m	1991	Jeremy Irons	Reversal of Fortune	Isle of Wight	9	1948	Europe
f	1992	Jodie Foster	The Silence of the Lambs	California	11	1962	North America
m	1992	Anthony Hopkins	The Silence of the Lambs	Wales	12	1937	Europe
f	1993	Emma Thompson	Howards End	England	4	1959	Europe
m	1993	Al Pacino	Scent of a Woman	New York	4	1940	North America
f	1994	Holly Hunter	The Piano	Georgia	3	1958	North America
m	1994	Tom Hanks	Philadelphia	California	7	1956	North America
f	1995	Jessica Lange	Blue Sky	Minnesota	4	1949	North America
m	1995	Tom Hanks	Forest Gump	California	7	1956	North America
f	1996	Susan Sarandon	Dead Man Walking	New York	10	1946	North America
m	1996	Nicolas Cage	Leaving Las Vegas	California	1	1964	North America
f	1997	Frances McDormand	Fargo	Illinois	6	1957	North America
m	1997	Geoffrey Rush	Shine	Australia	7	1951	South Pacific
f	1998	Helen Hunt	As Good As It Gets	California	6	1963	North America
m	1998	Jack Nicholson	As Good as It Gets	New York	4	1937	North America
f	1999	Gwyneth Paltrow	Shakespeare in Love	California	9	1972	North America
m	1999	Roberto Benigni	Life is Beautiful	Italy	10	1952	Europe
f	2000	Hilary Swank	Boys Do not Cry	Washington	7	1974	North America
m	2000	Kevin Spacey	American Beauty	New Jersey	7	1959	North America
f	2001	Julia Roberts	Erin Brockovich	Georgia	10	1967	North America
m	2001	Russell Crowe	Gladiator	New Zealand	4	1964	South Pacific
f	2002	Halle Berry	Monsters Ball	Ohio	8	1966	North America
m	2002	Denzel Washington	Training Day	New York	12	1954	North America
f	2003	Nicole Kidman	The Hours	Australia	6	1967	South Pacific
m	2003	Adrien Brody	The Pianist	New York	4	1973	North America
f	2004	Charlize Theron	Monster	South Africa	8	1975	Africa
m	2004	Sean Penn	Mystic River	California	8	1960	North America
f	2005	Hilary Swank	Million Dollar Baby	Washington	7	1974	North America
m	2005	Jamie Foxx	Ray	Texas	12	1967	North America
m	2006	Philip Seymour Hoffman	Capote	New York	7	1967	North America
f	2006	Reese Witherspoon	Walk the Line	Louisiana	3	1976	North America
m	2007	Forest Whitaker	The Last King of Scotland	Texas	7	1961	North America
f	2007	Helen Mirren	The Queen	England	7	1945	Europe
m	2008	Daniel Day-Lewis	There Will Be Blood	England	4	1957	Europe
f	2008	Marion Cotillard	La Vie en Rose	France	9	1975	Europe
m	2009	Sean Penn	Milk	California	8	1960	North America
f	2009	Kate Winslet	The Reader	England	10	1975	Europe
m	2010	Jeff Bridges	Crazy Heart	California	12	1949	North America
f	2010	Sandra Bullock	The Blind Side	Virginia	7	1964	North America
m	2011	Colin Firth	The Kings Speech	England	9	1960	Europe
f	2011	Natalie Portman	Black Swan	Israel	6	1981	Asia
m	2012	Jean Dujardin	The Artist	France	6	1972	Europe
f	2012	Meryl Streep	The Iron Lady	New Jersey	6	1949	North America
m	2013	Daniel Day-Lewis	Lincoln	England	4	1957	Europe
f	2013	Jennifer Lawrence	Silver Linings Playbook	Kentucky	8	1990	North America
m	2014	Matthew McConaughey 	Dallas Buyers Club	Texas	11	1969	North America
f	2014	Cate Blanchett	Blue Jasmine	Australia	5	1969	South Pacific
m	2015	Eddie Redmayne 	The Theory of Everything	England	1	1982	Europe
f	2015	Julianne Moore 	Still Alice	North Carolina	12	1960	North America
m	2016	Leonardo DiCaprio 	The Revenant	California	11	1974	North America
f	2016	Brie Larson 	Room	California	10	1989	North America
m	2017	Casey Affleck 	Manchester by the Sea	Massachusetts	8	1975	North America
f	2017	Emma Stone	La La Land	Arizona	11	1988	North America
m	2018	Gary Oldman 	Darkest Hour	England	3	1958	Europe
f	2018	Frances McDormand 	"Three Billboards outside Ebbing, Missouri"	Illinois	6	1957	North America
m	2019	Rami Malek 	Bohemian Rhapsody	California	5	1981	North America
f	2019	Olivia Colman 	The Favourite	England	1	1974	Europe
m	2020	Joaquin Phoenix 	Joker	Puerto Rico	10	1974	North America
f	2020	Renee Zellweger 	Judy	Texas	4	1969	North America
m	2021	Anthony Hopkins	The Father	England	12	1937	Europe
f	2021	Frances McDormand	Nomadland	Illinois	6	1957	North America
m	2022	Will Smith	King Richard	Pennsylvania	9	1968	North America
f	2022	Jessica Chastain	The Eyes of Tammy Faye	California	3	1977	North America
m	2023	Brendan Fraser	The Whale	Indiana	12	1968	North America
f	2023	Michelle Yeoh	Everything Everywhere All at Once	Malaysia	8	1962	Asia
m	2024	Cillian Murphy	Oppenheimer	Republic of Ireland	5	1976	Europe
f	2024	Emma Stone	Poor Things	Arizona	11	1988	North America
m	2025	Adrien Brody	The Brutalist	New York	4	1973	North America
f	2025	Mikey Madison	Anora	California	3	1999	North America
